Hybridization REF	MBA:MEXP:2462	MBA:MEXP:2463	MBA:MEXP:2464	MBA:MEXP:2465	MBA:MEXP:2466	MBA:MEXP:2467	MBA:MEXP:2468	MBA:MEXP:2469	MBA:MEXP:2470	MBA:MEXP:2471	MBA:MEXP:2472	MBA:MEXP:2473	MBA:MEXP:2474	MBA:MEXP:2475	MBA:MEXP:2476	MBA:MEXP:2477	MBA:MEXP:2478	MBA:MEXP:2479	MBA:MEXP:2480	MBA:MEXP:2481
R:A-SNGR-8:1359	1.2043155	1.478967	1.1359308	1.0670618	1.0792223	1.0158241	1.0056403	1.0009885	0.9605871	0.88570917	0.97688097	1.0708045	1.0541525	0.99278903	0.94162345	0.9109102	0.93674445	0.89657485	0.8595712	0.99901146
R:A-SNGR-8:4532	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null
R:A-SNGR-8:3584	1.0308152	1.0154301	1.0311983	0.940781	0.93275166	1.0094212	0.9774823	0.9311177	0.9585035	0.9662653	1.0856185	0.95377445	0.99057865	0.9149535	1.0142211	1.0412451	1.0181739	1.0501379	1.0601839	0.9748922
R:A-SNGR-8:2562	0.80161035	0.6120634	0.74706066	0.76514494	0.9333208	0.9642058	0.99068874	0.854789	0.90892786	1.0806875	1.2273225	1.0708687	1.09128	1.1136615	1.033287	1.0093112	1.0728307	1.1614027	1.2607349	0.79775286
R:A-SNGR-8:2816	1.118081	1.1200894	1.0450436	0.9577665	0.97404915	0.99957675	1.0082542	1.0004231	1.044035	0.9461065	0.96276337	0.91771257	0.96028155	1.0396643	0.9763255	0.9903815	1.0259063	1.1187268	0.963428	1.127575
R:A-SNGR-8:2393	null	null	null	0.25796086	null	0.36419344	0.7592215	1.261606	1.4352788	1.3285989	1.0076472	1.542552	1.2448417	0.9201223	1.019884	1.1290073	1.116689	1.0233558	0.9923529	0.27058563
R:A-SNGR-8:256	0.9372472	1.3030853	0.99606586	0.9658306	1.0946525	1.0925531	1.0645955	1.0039341	0.95485175	0.93001616	0.9294715	0.94118804	null	0.95582116	1.0575552	1.0283475	0.95109993	1.0312612	0.97144264	1.0355351
R:A-SNGR-8:512	0.938811	1.4274706	1.025455	1.1168305	1.0281037	1.0084275	0.9183662	0.93804723	0.9620573	1.0575371	1.1565926	0.9915725	0.9884875	0.94139	0.84495133	0.96837324	0.92812014	1.0205963	1.0117415	1.1641477
R:A-SNGR-8:627	1.2136903	1.0047694	1.0484512	0.77904534	0.6988305	0.75213724	0.7746634	0.8558335	0.98375857	1.1161312	1.0837003	1.0519161	1.0531744	1.0136905	0.97188914	0.9847249	1.0047177	1.2319591	0.9952821	0.8546038
R:A-SNGR-8:5989	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null
R:A-SNGR-8:1615	null	null	0.66677773	1.1771464	1.2578032	null	0.81725633	0.6667923	null	null	1.5786254	1.3776312	1.6005979	1.7639093	1.7943078	1.369688	1.0566477	1.0792451	0.9285453	null
R:A-SNGR-8:2048	1.174318	1.1051854	1.0833776	1.0529225	1.0931203	0.9687583	0.9791129	0.97560656	0.9746781	1.0580995	1.0507855	0.9631734	0.93669426	0.9770766	0.9220141	1.0119152	0.93312913	1.1022549	1.0489318	0.9880848
R:A-SNGR-8:1024	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null
R:A-SNGR-8:2230	0.8918645	null	null	1.2688746	0.8416974	null	1.50545	1.1081355	null	0.8416974	1.4906541	null	1.6190346	2.364859	2.3751905	2.0323398	1.9231061	null	1.5075921	null
R:A-SNGR-8:5391	1.0020527	1.0502822	1.029196	0.9979474	1.0671604	1.0915405	0.882697	0.8321571	0.99420494	0.97212416	0.84978694	1.0534917	1.0162216	1.0304698	1.0482867	1.0694302	0.86799294	0.9573172	0.81714946	0.85578096
R:A-SNGR-8:4367	0.95881736	1.00834	0.88780177	1.030376	1.0761396	1.0024242	1.1005492	1.0295256	0.9756309	0.8393308	0.9734546	0.84892344	0.8878546	0.97897977	0.9922277	0.9975757	1.2078037	1.3384063	1.0231348	1.004031
R:A-SNGR-8:5647	1.1661546	1.3148776	0.98633045	0.9147366	0.96685654	0.91897494	0.9666675	1.0278566	1.0881044	1.1156833	1.1681087	1.0117872	1.0158229	0.9419935	0.8555608	0.838578	1.1554867	1.1272324	0.97685397	null
R:A-SNGR-8:4623	0.85403156	0.6462597	0.87721765	0.82276773	1.1362462	0.91416764	0.8928487	0.7668955	1.0344421	1.1143298	1.1606476	0.975111	1.0216161	0.988719	1.0112809	1.1087635	1.0663599	1.0931425	1.1395961	0.9189887
R:A-SNGR-8:4965	1.1418	1.2953234	1.066697	1.0141819	0.9517564	1.0056648	1.0627904	1.1052278	1.0264285	0.94085175	0.9185051	1.0235616	0.941036	0.96883214	0.9312425	0.99433523	0.95579606	0.8603648	0.9457395	1.2006098
R:A-SNGR-8:5903	0.8381727	1.0089965	0.78792894	1.017199	null	null	0.81413877	0.81331617	1.1323229	0.9910034	1.2036186	1.2295074	0.9910034	1.3908257	1.1169561	0.6808868	0.83536285	1.0778568	1.1981179	1.0721537
R:A-SNGR-8:3154	0.82140917	0.8219907	0.84366643	0.86303264	0.8645125	0.91401714	1.1406469	1.120858	1.0531456	0.96860456	0.97071487	0.9968783	0.96135795	1.0395972	1.0237013	1.0581439	1.0031216	1.028329	1.1780797	1.2730405
R:A-SNGR-8:4879	1.8066736	null	null	1.3189707	null	1	0.9854006	1.3923625	1	1	1	1	null	2.3441703	1.7221372	1	1.4223143	1.3328294	1.6228801	null
R:A-SNGR-8:3087	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null
R:A-SNGR-8:3942	0.97309357	1.1289257	0.98788995	0.95056945	0.92233455	0.8840162	0.953398	1.1250857	1.0770644	0.99912894	1.0008712	1.0880284	1.0430015	0.8924827	0.8895022	0.93747014	1.3886613	1.3512954	1.0833269	1.1523018
R:A-SNGR-8:6021	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null
R:A-SNGR-8:2575	0.8433747	0.90944755	0.8487714	0.9169719	1.0022717	1.0160533	1.0618947	1.0246836	0.97959435	0.8890912	0.91222596	0.9977284	1.0686901	0.98859197	1.0098674	1.092239	1.0979575	0.95175534	1.0077684	1.1110847
R:A-SNGR-8:3855	0.78221166	0.9467089	1.1409589	1.2974223	1.3400632	1.1614559	1.1608523	0.9876586	0.93037426	0.88853806	0.99885714	0.97893023	0.93413264	1.029117	1.0011429	1.0127425	0.8721923	0.89209425	1.0391276	1.0494142
R:A-SNGR-8:1039	0.79610795	0.9764022	0.8956011	0.99684066	0.98132867	1.1101432	1.1545407	1.1801083	1.1152713	0.88970995	0.92757726	0.9967705	0.98122984	0.9763636	1.0299284	1.0993935	1.0501883	1.0522555	1.0031594	1.1288364
R:A-SNGR-8:1295	0.9148568	0.7107158	0.8186933	0.909323	0.983499	1.0022956	0.91978633	0.8828136	1.0150033	1.0232027	1.114865	1.0167446	0.9977043	0.9295502	1.0827436	1.0827199	1.0377284	1.2240347	1.2414238	0.8428089
R:A-SNGR-8:1126	1.0356718	1.1655593	1.0203887	0.8377191	0.87775767	0.93151116	1.1265261	1.2268199	1.2141832	1.0104682	0.9593494	0.96769756	0.87713873	0.8490135	0.8865825	0.89343435	0.98953193	1.0443486	1.1491141	1.2746482
R:A-SNGR-8:1551	1.1444232	1.5488775	1.09533	1.0247003	0.97832257	1.0303309	1.1410164	1.0989275	0.91287774	0.9197167	0.962313	0.92682767	0.92426014	0.9566347	0.9401859	1.0216775	1.0286424	1.0837212	0.9503528	0.9225971
R:A-SNGR-8:527	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null
R:A-SNGR-8:5199	0.99957025	1.126488	1.0087355	1.1278036	0.8919924	0.9974683	0.9806838	1.1498084	1.1317981	1.0004296	1.0523973	0.9796258	0.9518326	0.896145	0.96810925	0.9518326	0.81484544	1.0035195	1.2445269	1.384281
R:A-SNGR-8:5455	0.850287	0.8366748	0.80736136	0.8772423	0.9104595	0.9651221	1.0548757	1.0582566	1.1189198	0.99313337	0.98476166	1.0476592	1.0036676	1.0279957	1.0383477	1.1369075	1.0158744	0.959221	1.145671	0.99633235
R:A-SNGR-8:5967	1.6175145	1.357893	1.2968937	1.1370149	1.0353291	0.9398678	1.0005049	1.0412517	0.8737562	0.9800851	0.98059595	0.99501455	1.01882	0.9994952	0.872961	0.9345434	1.066012	1.1200079	0.830246	0.9614428
R:A-SNGR-8:3407	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null
R:A-SNGR-8:3173	0.7650514	0.6820633	0.8137047	0.9222282	0.9207675	0.9867278	1.015121	1.0018011	1.0779216	1.0660005	1.065802	0.96340054	0.97524023	1.0694188	1.1401329	1.0968488	0.9981989	1.024901	1.0737503	0.85038346
R:A-SNGR-8:102	0.93292606	0.7683561	0.8493157	0.83282477	0.85207427	0.9733982	1.1109159	1.1353503	1.4215252	1.3512369	1.1053736	0.8910707	0.92086226	0.8986565	1.0266018	1.0982709	1.2767847	1.1818631	1.2115052	0.8020246
R:A-SNGR-8:1382	0.89586407	1.0589899	0.91067874	0.8998774	0.9158045	0.9781062	0.9789115	0.95122105	0.8840897	0.9308312	1.0210885	1.0874792	1.0686376	1.0650078	1.101349	1.1746814	1.0758803	0.9280789	1.0244656	1.2117754
R:A-SNGR-8:2895	1.0082225	0.97081745	0.99409604	1.0485755	0.9272332	1.033014	1.0561074	1.0144402	0.9968012	0.86225	0.91687036	1.0267831	1.042426	1.0031986	0.93028855	0.77500075	0.8716654	1.1083822	0.91179895	1.3637726
R:A-SNGR-8:847	1.0596699	1.0158182	null	0.9330817	1.0332087	1.0619804	1.0550297	1.1092913	1.0473524	0.951085	0.9372495	0.97026527	0.9004401	1.053636	0.8904074	1.008807	0.94389826	0.9911931	0.9903365	1.0269384
R:A-SNGR-8:5364	0.9911436	1.0334442	1.058389	1.0103885	0.86295545	0.9526084	0.9650707	1.0639615	1.0409604	1.0720813	0.9655804	1.0313138	1.004145	0.93555963	0.9552151	0.995855	0.9211085	1.010421	1.0139644	0.91321695
R:A-SNGR-8:1570	1.3889627	null	1.2581315	1.435528	0.9894047	null	1.0105952	1.1324948	null	0.9894047	1.1504705	null	1.2966465	null	1.1382189	1.1228952	0.9410811	null	1.0200844	null
R:A-SNGR-8:1044	1.0363957	1.06567	0.99546534	1.1705571	1.0682429	0.9908718	1.2167203	1.1427604	0.92657566	1.001821	0.9879182	1.0284506	1.0855782	1.2081368	0.94123125	0.9042101	0.8600414	0.99817884	0.9898574	0.914074
R:A-SNGR-8:1826	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	1.2318689	0.9297002	0.99503106
R:A-SNGR-8:802	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null
R:A-SNGR-8:4194	0.926131	0.95918983	0.9227416	0.92290777	0.99561936	1.0548683	1.2141796	1.1902598	1.0818849	0.9397576	0.9711133	1.0889115	0.9269034	1.0043806	0.9027523	0.88643754	1.171288	1.2554617	1.0955538	1.3193705
R:A-SNGR-8:1014	1.0301889	1.0470808	0.98659295	0.9214241	0.93052125	0.9792157	0.98706603	1.0036906	1.1139686	0.926379	0.88655144	1.0386783	1.0606097	0.80298984	0.87554055	1.2962475	1.0286272	1.0741663	0.9963094	1.3595303
R:A-SNGR-8:5236	1.0824771	0.990419	0.9408786	0.92157924	1.0107286	1.1231098	1.1391398	1.04281	1.1146495	0.8962989	0.9432403	0.8880497	0.99890196	1.0448333	0.9355903	1.0010982	0.9658044	1.0205842	0.95834243	1.0675777
R:A-SNGR-8:3270	null	null	null	null	null	null	1.3752205	1.7854218	null	null	null	null	null	null	null	null	null	null	null	null
R:A-SNGR-8:5492	null	null	null	1.1849004	null	1	null	1.0207065	null	null	null	null	null	null	1.1850249	1.2184412	null	null	null	null
R:A-SNGR-8:5748	1.226304	1.3365735	1.1710782	0.85591793	0.94670266	0.9008188	0.9436281	1.2505609	1.0166013	1.0419564	0.98339856	0.97354734	0.91641897	0.927446	0.8973166	0.9518911	1.0188223	1.1066585	1.048823	1.2898902
R:A-SNGR-8:4997	null	null	null	null	null	null	null	15.188595	null	null	12.745098	null	11.303889	17.045198	15.10337	18.059988	8.447491	8.266057	null	null
R:A-SNGR-8:3188	0.6597596	0.3695058	0.681215	0.8899458	0.9885462	1.0507911	0.8701764	0.6932372	0.8779508	1.0729288	1.2025462	0.9239324	1.0825826	1.1853836	1.2576592	1.1553427	1.136805	null	1.1016775	0.41414776
R:A-SNGR-8:4327	0.6526096	0.47730872	0.6297171	0.82088566	1.2277766	1.1146191	0.962713	0.8734041	0.93745756	null	1.2325335	0.99837613	0.9833624	1.2181692	1.2331463	1.3100805	1.015849	1.0667285	1.1787876	0.59978193
R:A-SNGR-8:3446	0.9476059	1.1008297	0.95897603	0.9590448	0.98309606	1.0061485	1.1961884	1.2393757	1.1478506	0.9800657	0.9256343	1.050553	1.0461917	0.9623985	0.92328334	0.97411853	0.9938514	1.0423331	1.0491148	1.329483
R:A-SNGR-8:5863	1.0057902	1.089582	1.0463701	1.0738282	1.0503147	1.074316	1.1865417	1.085123	0.96325135	0.8776738	0.9567393	0.9608398	0.96232164	1.0472431	1.0058801	0.99420977	0.97857076	null	0.9743052	0.82179046
R:A-SNGR-8:4661	0.8915984	0.9288277	0.87240696	0.8640717	0.99695283	1.0665911	1.003047	1.0326303	1.1086471	1.1095896	1.0646045	1.0613319	1.0140187	0.94804716	0.8497939	0.97962874	1.0697434	1.1069747	0.9958158	0.9781593
R:A-SNGR-8:6119	1.1533335	1.0141098	1.0795058	0.9499105	1.0109855	0.99985254	1.0001473	1.0135986	0.9717813	1.13624	0.994479	1.0225725	0.9407614	1.0191885	0.92020017	0.9716604	0.865969	0.900604	1.150806	null
R:A-SNGR-8:4218	0.86749655	0.9159233	1.0503516	1.0253679	1.2914182	1.2519848	0.9767018	0.8701701	0.9197245	0.92845345	0.9457589	1.1509238	1.0837018	1.3100185	1.3416187	1.2230916	1.0232981	0.9642723	0.88824487	0.81534296
R:A-SNGR-8:4474	1.2237883	1.1548353	1.1434364	1.2305168	1.0894356	1.0808252	1.0216578	1.0031505	0.98247594	0.9968494	0.84134376	0.9817292	0.9882476	1.0331017	0.92006415	0.93362266	1.0302444	0.8164416	0.85460335	null
R:A-SNGR-8:6010	null	1.0564175	1.0598507	1.0832189	1.0487325	1.0621669	null	null	0.94009656	0.91844416	0.94371223	1.007106	0.9837877	1.0508754	1.0728658	0.99442613	1.0127441	0.9243323	0.83065593	0.94686496
R:A-SNGR-8:3194	0.76970345	0.66863024	0.93765616	1.269662	1.5553335	1.351502	0.9317697	0.6814975	0.76580846	1.0015298	1.1029735	1.1120536	1.3051176	1.4539912	1.6424776	1.3858712	0.99847007	0.7218542	0.7418845	0.4838067
R:A-SNGR-8:999	0.92691773	0.69612145	0.9895252	0.9428056	1.1310291	1.0698707	1.1549121	1.0570565	1.3606557	1.2173858	0.96039736	0.76814246	0.8730216	0.8273796	1.0104748	1.5184164	1.1003023	1.1542389	0.93228036	0.6888988
R:A-SNGR-8:2170	0.9031348	0.47948986	0.8989828	0.9251134	1.1405904	0.98289716	0.6855778	0.58002496	1.0051954	1.2389311	1.3001326	0.99480456	1.1967903	0.88622636	1.2683525	1.0872003	1.095585	1.1265292	1.0162133	null
R:A-SNGR-8:5941	0.82062536	null	0.8504768	0.8714649	0.9011843	0.846293	null	null	0.85714287	null	null	null	null	null	null	null	null	null	null	null
R:A-SNGR-8:3450	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null
R:A-SNGR-8:2422	0.72899157	null	1.0305343	1.1126376	1	1	1.40564	1.2170964	null	null	1	1	1	null	1.2755524	1.2818371	1.3634273	null	1	null
R:A-SNGR-8:3706	0.94737315	1.0487816	1.0873787	1.1468595	1.0582068	1.075183	0.9809815	0.9465701	0.92448026	0.9417314	1.062449	1.0559613	0.99028313	0.94095576	1.0097169	1.0407579	0.7913928	0.8184167	0.9359097	1.0565407
R:A-SNGR-8:5175	1.2729664	1.130639	1.1607395	1.1000272	0.9062609	1.069711	0.9830589	0.97354627	1.0380628	1.2101777	1.0605289	0.9264708	1.016941	0.8898542	0.95909166	1.029512	0.8686799	0.9114782	0.8601592	0.51770735
R:A-SNGR-8:122	0.9843169	0.8199793	0.92372084	0.9280881	0.84817547	0.92868423	0.96751106	1.0934227	1.086983	1.0573045	0.9674461	1.0273346	1.0584432	1.0086905	0.9787064	1.1134447	1.0626799	1.0927101	1.1172036	0.99130946
R:A-SNGR-8:1402	0.8253313	0.5665683	0.7702319	0.90212595	1.1203295	1.0959324	1.0735373	0.9275231	1.058924	1.1624202	1.1723922	0.9902809	1.0814623	0.9487544	1.097816	1.1292056	1.009719	0.92277074	0.9553478	0.49323466
R:A-SNGR-8:634	0.733996	0.3836785	0.8858143	1.0807834	1.3242534	1.0826759	0.68601704	0.5666157	0.97343785	1.3257555	1.302165	0.95040774	1.1801356	1.0202165	1.3622509	1.2400117	1.1384654	0.9797837	0.97087836	0.27315828
R:A-SNGR-8:3702	1.0483841	1.1686879	0.9525272	0.9479723	0.8561863	1.0495187	0.9288306	0.9687607	1.0175248	1.0495187	1.1214347	1.0680684	1.0247825	0.98247504	0.9180502	0.8669244	0.9464074	0.92155826	1.0345181	null
R:A-SNGR-8:89	7.4586444	null	null	12.845025	1.269556	3.275954	1.7951095	5.931989	null	null	8.1018915	null	0.97214115	1.5374084	1.3592479	null	null	1.0278589	0.8615808	0.80834687
R:A-SNGR-8:3573	1.002201	0.9788358	1.011038	0.98159385	0.95044035	0.9662441	1.0211731	1.0925767	1.04422	0.9592672	0.929667	0.9977989	1.0045125	0.91337305	0.89523983	0.97648066	null	1.0497332	1.0078458	1.0340035
R:A-SNGR-8:4794	1.1137176	1.1837966	1.0976295	1.0778722	0.87329906	null	1.0704923	1.0316073	1.4017084	0.87329906	null	0.87329906	0.87329906	null	1.0265259	1.0049863	0.94787234	0.99501365	1.0545479	null
R:A-SNGR-8:5458	0.96022445	1.006708	0.8448968	0.8523269	0.9417619	0.96628267	1.059513	1.0128	1.0028971	0.91811925	0.917699	1.0262876	0.9971029	1.0329386	0.90672004	0.969258	1.0771756	1.0413133	1.011323	1.2032478
R:A-SNGR-8:3258	1.0517232	1.1812174	1.0487956	0.98923385	0.9209686	0.9621039	1.0111679	0.9781619	0.938978	0.8818425	0.9529031	1.1457475	1.0107661	1.1957988	1.0278126	0.89367473	1.0785458	0.91969824	0.9480363	1.0354692
R:A-SNGR-8:3514	0.8786482	0.8764997	0.9418972	1.0652175	1.0800025	1.0499315	1.001683	0.97569585	0.9957775	0.91713816	0.9410666	0.97806615	1.1071483	1.046299	1.1077573	1.1224967	1.1389666	0.9983171	0.97224665	1.1772408
R:A-SNGR-8:2490	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null
R:A-SNGR-8:4151	0.8095748	0.81209135	0.97940403	1.0597773	1.0983006	1.0910085	1.0969671	0.9748963	1.0521268	1.1294568	1.1158854	1.0224856	1.0035568	0.9488051	0.9858037	0.9964431	0.7953567	0.85188264	1.0884657	0.7093719
R:A-SNGR-8:2246	1.1498713	1.2203583	1.0076779	0.9279548	0.8957191	0.86250573	0.99752194	1.0261279	1.0986342	0.95565206	1.0112207	1.0024781	0.88154995	0.942073	0.81761825	0.91887206	0.9514292	1.0954105	1.0050445	1.3002053
R:A-SNGR-8:3236	1.4046019	0.9846104	1.1289998	0.9988502	1.0226338	1.0011499	1.037167	1.1389331	1.2424212	1.3387854	1.1456957	0.9321275	0.88957375	0.9420069	0.9710893	0.9943082	0.95338947	0.98892605	1.0989258	null
R:A-SNGR-8:4026	1.1657431	null	1.2353632	1.0953488	0.8292422	null	0.8435934	0.8436511	1.3044384	0.99782443	1.1850165	1.3008959	0.99782443	null	1.2552032	1.0021755	0.98291755	1.1134542	1.171352	null
R:A-SNGR-8:186	0.70062697	0.4905826	0.73252547	0.8675494	0.91471064	0.9477821	0.8886938	0.7384407	1.0451641	1.1074533	1.0828161	1.0019861	1.1006278	0.99801385	1.1143692	1.219377	1.2781185	1.1558316	1.0946788	0.6366523
R:A-SNGR-8:1466	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null
